Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
CALENDAR,CreatedBy,NVARCHAR2(300),Người tạo,,
CALENDAR,DateCreated,DATE,Ngày tạo,,
CALENDAR,DateModified,DATE,Ngày sửa,,
CALENDAR,ModifyBy,NVARCHAR2(300),Người sửa,,
CALENDAR,IsDataMigration,NUMBER(22),1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu hệ thống mới,,
CERTFCATE,Id,RAW(16),Mã ID chứng thư số. Mã hệ thống tự sinh (PK),PK,
CERTFCATE,Issuer,NCLOB,Thông tin nhà cung cấp dịch vụ chứng thư,,
CERTFCATE,CreatedBy,NVARCHAR2(300),Người tạo,,
CERTFCATE,DateCreated,DATE,Ngày tạo,,
CERTFCATE,DateModified,DATE,Ngày sửa,,
CERTFCATE,ModifyBy,NVARCHAR2(300),Người sửa,,
DTSCBMN,DtSId,RAW(16),Mã ID phân quyền dữ liệu. FK → DTSCOPE.Id,,FK suy luận → DTSCOPE.Id
DTSCBMN,BmnId,RAW(16),Mã ID ngân hàng LKGS. FK → BANKMONI.Id,,FK suy luận → BANKMONI.Id
DTSCFND,DtSId,RAW(16),Mã ID phân quyền dữ liệu. FK → DTSCOPE.Id,,FK suy luận → DTSCOPE.Id
DTSCFND,FndId,RAW(16),Mã ID quỹ đầu tư. FK → FUNDS.Id,,FK suy luận → FUNDS.Id
DTSCFR,DtSId,RAW(16),Mã ID phân quyền dữ liệu. FK → DTSCOPE.Id,,FK suy luận → DTSCOPE.Id
DTSCFR,FrId,RAW(16),Mã ID VPĐD/CN QLQ NN tại VN. FK → FORBRCH.Id,,FK suy luận → FORBRCH.Id
DTSCOPE,Id,RAW(16),Mã ID phân quyền dữ liệu (PK),PK,
DTSCOPE,UserId,RAW(16),Mã ID người dùng. FK → USERS.Id,FK,FK → USERS.Id
DTSCOPE,IsAll,NUMBER(22),Có quyền xem tất cả: 1 = Có; 0 = Không,,
DTSCOPE,CreatedBy,NVARCHAR2(300),Người tạo,,
DTSCOPE,DateCreated,DATE,Ngày tạo,,
DTSCOPE,DateModified,DATE,Ngày sửa,,
DTSCOPE,ModifyBy,NVARCHAR2(300),Người sửa,,
FGBRBUP,Id,RAW(16),Mã ID lịch sử thay đổi. Mã hệ thống tự sinh (PK),PK,
FGBRBUP,FgBrId,RAW(16),Mã ID VPĐD/CN công ty QLQ NN tại VN. FK → FORBRCH.Id,FK,FK → FORBRCH.Id
FGBRBUP,Action,NCLOB,Sự kiện thay đổi,,
FGBRBUP,AdjustmentLicense,NVARCHAR2(4000),Số GP/QĐ/CV sửa đổi,,
FGBRBUP,DateChange,DATE,Ngày thực hiện thay đổi,,
FGBRBUP,LicenseDate,DATE,Ngày chấp thuận,,
FGBRBUP,PrevValue,NCLOB,Thông tin trước thay đổi,,
FGBRBUP,ValueChange,NCLOB,Thông tin sau thay đổi,,
FGBRBUP,Reason,NVARCHAR2(4000),Lý do sửa đổi,,
FGBRBUP,FileData,NCLOB,File đính kèm,,
FGBRBUP,DateCreated,DATE,Ngày tạo,,
FGBRBUP,CreatedBy,NVARCHAR2(300),Người sửa,,
FGBUSINESS,FrBchId,RAW(16),Mã ID VPĐD/CN QLQ NN tại VN. FK → FORBRCH.Id,,FK suy luận → FORBRCH.Id
FGBUSINESS,BuId,RAW(16),Mã ID ngành nghề kinh doanh. FK → BUSINESS.Id,,FK suy luận → BUSINESS.Id
FNDSBMN,FndId,RAW(16),Mã ID quỹ đầu tư. FK → FUNDS.Id,,FK suy luận → FUNDS.Id
FNDSBMN,BmnId,RAW(16),Mã ID ngân hàng LKGS. FK → BANKMONI.Id,,FK suy luận → BANKMONI.Id
FORBRCH,Id,RAW(16),Mã ID VPĐD/CN công ty QLQ NN tại VN (PK),PK,
FORBRCH,Name,NVARCHAR2(3000),Tên VPĐD/CN,,
FORBRCH,EnName,NVARCHAR2(1500),Tên tiếng Anh,,
